sample,type,method,status,seconds,output
UnauthorizedTokenTransfer,vulnerable,smartbugs2_slither,0,5.915,reports/publish_exp/smartbugs2_slither/UnauthorizedTokenTransfer.txt
UnauthorizedTokenTransfer,vulnerable,smartbugs2_semgrep_custom,7,2.771,reports/publish_exp/smartbugs2_semgrep_custom/UnauthorizedTokenTransfer.json
MissingAllowanceTransferFrom,vulnerable,smartbugs2_slither,0,5.449,reports/publish_exp/smartbugs2_slither/MissingAllowanceTransferFrom.txt
MissingAllowanceTransferFrom,vulnerable,smartbugs2_semgrep_custom,7,1.718,reports/publish_exp/smartbugs2_semgrep_custom/MissingAllowanceTransferFrom.json
WrongAllowanceOwner,vulnerable,smartbugs2_slither,0,7.316,reports/publish_exp/smartbugs2_slither/WrongAllowanceOwner.txt
WrongAllowanceOwner,vulnerable,smartbugs2_semgrep_custom,7,1.742,reports/publish_exp/smartbugs2_semgrep_custom/WrongAllowanceOwner.json
OnlyToCheckedTransfer,vulnerable,smartbugs2_slither,0,5.439,reports/publish_exp/smartbugs2_slither/OnlyToCheckedTransfer.txt
OnlyToCheckedTransfer,vulnerable,smartbugs2_semgrep_custom,7,1.713,reports/publish_exp/smartbugs2_semgrep_custom/OnlyToCheckedTransfer.json
PublicBurnFrom,vulnerable,smartbugs2_slither,0,4.832,reports/publish_exp/smartbugs2_slither/PublicBurnFrom.txt
PublicBurnFrom,vulnerable,smartbugs2_semgrep_custom,7,1.704,reports/publish_exp/smartbugs2_semgrep_custom/PublicBurnFrom.json
UncheckedOperatorTransfer,vulnerable,smartbugs2_slither,0,5.616,reports/publish_exp/smartbugs2_slither/UncheckedOperatorTransfer.txt
UncheckedOperatorTransfer,vulnerable,smartbugs2_semgrep_custom,7,1.665,reports/publish_exp/smartbugs2_semgrep_custom/UncheckedOperatorTransfer.json
BatchTransferFromMissingAuth,vulnerable,smartbugs2_slither,0,4.804,reports/publish_exp/smartbugs2_slither/BatchTransferFromMissingAuth.txt
BatchTransferFromMissingAuth,vulnerable,smartbugs2_semgrep_custom,7,1.686,reports/publish_exp/smartbugs2_semgrep_custom/BatchTransferFromMissingAuth.json
ApproveAndCallWrongSpender,vulnerable,smartbugs2_slither,0,6.834,reports/publish_exp/smartbugs2_slither/ApproveAndCallWrongSpender.txt
ApproveAndCallWrongSpender,vulnerable,smartbugs2_semgrep_custom,7,1.651,reports/publish_exp/smartbugs2_semgrep_custom/ApproveAndCallWrongSpender.json
InternalMoveExposed,vulnerable,smartbugs2_slither,0,4.563,reports/publish_exp/smartbugs2_slither/InternalMoveExposed.txt
InternalMoveExposed,vulnerable,smartbugs2_semgrep_custom,7,1.817,reports/publish_exp/smartbugs2_semgrep_custom/InternalMoveExposed.json
RoleBypassTransfer,vulnerable,smartbugs2_slither,0,5.340,reports/publish_exp/smartbugs2_slither/RoleBypassTransfer.txt
RoleBypassTransfer,vulnerable,smartbugs2_semgrep_custom,7,1.735,reports/publish_exp/smartbugs2_semgrep_custom/RoleBypassTransfer.json
PermitNonceMissingTransfer,vulnerable,smartbugs2_slither,0,5.481,reports/publish_exp/smartbugs2_slither/PermitNonceMissingTransfer.txt
PermitNonceMissingTransfer,vulnerable,smartbugs2_semgrep_custom,7,1.692,reports/publish_exp/smartbugs2_semgrep_custom/PermitNonceMissingTransfer.json
DelegatedTransferMissingAuth,vulnerable,smartbugs2_slither,0,5.733,reports/publish_exp/smartbugs2_slither/DelegatedTransferMissingAuth.txt
DelegatedTransferMissingAuth,vulnerable,smartbugs2_semgrep_custom,7,1.728,reports/publish_exp/smartbugs2_semgrep_custom/DelegatedTransferMissingAuth.json
