sample,type,method,status,seconds
UnauthorizedTokenTransfer,vulnerable,slither,0,0.241
UnauthorizedTokenTransfer,vulnerable,gptscan,0,10.020
UnauthorizedTokenTransfer,vulnerable,auto_llm_generate,0,117.713
UnauthorizedTokenTransfer,vulnerable,auto_llm_evaluate,0,1.124
MissingAllowanceTransferFrom,vulnerable,slither,0,0.250
MissingAllowanceTransferFrom,vulnerable,gptscan,0,12.323
MissingAllowanceTransferFrom,vulnerable,auto_llm_generate,0,209.619
MissingAllowanceTransferFrom,vulnerable,auto_llm_evaluate,0,1.059
WrongAllowanceOwner,vulnerable,slither,0,0.245
WrongAllowanceOwner,vulnerable,gptscan,0,3.251
WrongAllowanceOwner,vulnerable,auto_llm_generate,0,169.794
WrongAllowanceOwner,vulnerable,auto_llm_evaluate,0,1.110
OnlyToCheckedTransfer,vulnerable,slither,0,0.242
OnlyToCheckedTransfer,vulnerable,gptscan,0,3.121
OnlyToCheckedTransfer,vulnerable,auto_llm_generate,0,113.228
OnlyToCheckedTransfer,vulnerable,auto_llm_evaluate,0,1.104
PublicBurnFrom,vulnerable,slither,0,0.241
PublicBurnFrom,vulnerable,gptscan,0,26.011
PublicBurnFrom,vulnerable,auto_llm_generate,0,161.704
PublicBurnFrom,vulnerable,auto_llm_evaluate,0,1.209
UncheckedOperatorTransfer,vulnerable,slither,0,0.293
UncheckedOperatorTransfer,vulnerable,gptscan,0,3.315
UncheckedOperatorTransfer,vulnerable,auto_llm_generate,0,143.162
UncheckedOperatorTransfer,vulnerable,auto_llm_evaluate,0,1.073
BatchTransferFromMissingAuth,vulnerable,slither,0,0.246
BatchTransferFromMissingAuth,vulnerable,gptscan,0,3.363
BatchTransferFromMissingAuth,vulnerable,auto_llm_generate,0,201.534
BatchTransferFromMissingAuth,vulnerable,auto_llm_evaluate,0,1.274
ApproveAndCallWrongSpender,vulnerable,slither,0,0.230
ApproveAndCallWrongSpender,vulnerable,gptscan,0,3.506
ApproveAndCallWrongSpender,vulnerable,auto_llm_generate,0,202.927
ApproveAndCallWrongSpender,vulnerable,auto_llm_evaluate,0,1.174
InternalMoveExposed,vulnerable,slither,0,0.245
InternalMoveExposed,vulnerable,gptscan,0,4.009
InternalMoveExposed,vulnerable,auto_llm_generate,0,146.886
InternalMoveExposed,vulnerable,auto_llm_evaluate,0,1.327
RoleBypassTransfer,vulnerable,slither,0,0.238
RoleBypassTransfer,vulnerable,gptscan,0,3.561
RoleBypassTransfer,vulnerable,auto_llm_generate,0,142.987
RoleBypassTransfer,vulnerable,auto_llm_evaluate,0,1.075
PermitNonceMissingTransfer,vulnerable,slither,0,0.239
PermitNonceMissingTransfer,vulnerable,gptscan,0,3.699
PermitNonceMissingTransfer,vulnerable,auto_llm_generate,0,179.528
PermitNonceMissingTransfer,vulnerable,auto_llm_evaluate,0,0.389
DelegatedTransferMissingAuth,vulnerable,slither,0,0.396
DelegatedTransferMissingAuth,vulnerable,gptscan,0,3.519
DelegatedTransferMissingAuth,vulnerable,auto_llm_generate,0,216.878
DelegatedTransferMissingAuth,vulnerable,auto_llm_evaluate,0,0.387
VaultWithdrawFromMissingAuth,vulnerable,slither,0,0.294
VaultWithdrawFromMissingAuth,vulnerable,gptscan,0,1.124
VaultWithdrawFromMissingAuth,vulnerable,auto_llm_generate,0,137.004
VaultWithdrawFromMissingAuth,vulnerable,auto_llm_evaluate,0,1.822
NFTTransferFromMissingApproval,vulnerable,slither,0,0.373
NFTTransferFromMissingApproval,vulnerable,gptscan,0,1.366
NFTTransferFromMissingApproval,vulnerable,auto_llm_generate,0,161.292
NFTTransferFromMissingApproval,vulnerable,auto_llm_evaluate,0,1.374
ERC1155TransferMissingOperator,vulnerable,slither,0,0.326
ERC1155TransferMissingOperator,vulnerable,gptscan,0,0.961
ERC1155TransferMissingOperator,vulnerable,auto_llm_generate,0,149.497
ERC1155TransferMissingOperator,vulnerable,auto_llm_evaluate,0,1.609
SafeTransferFromWithAllowance,safe,slither,0,0.377
SafeTransferFromWithAllowance,safe,gptscan,0,4.803
SafeTransferFromWithAllowance,safe,auto_llm_generate,0,148.678
SafeTransferFromWithAllowance,safe,auto_llm_evaluate,0,0.493
SafeBurnFromWithAllowance,safe,slither,0,0.346
SafeBurnFromWithAllowance,safe,gptscan,0,4.926
SafeBurnFromWithAllowance,safe,auto_llm_generate,0,150.815
SafeBurnFromWithAllowance,safe,auto_llm_evaluate,0,1.405
SafeBatchTransferFrom,safe,slither,0,0.333
SafeBatchTransferFrom,safe,gptscan,0,5.045
SafeBatchTransferFrom,safe,auto_llm_generate,0,158.687
SafeBatchTransferFrom,safe,auto_llm_evaluate,0,1.584
SafeInternalMove,safe,slither,0,0.357
SafeInternalMove,safe,gptscan,0,4.044
SafeInternalMove,safe,auto_llm_generate,0,159.449
SafeInternalMove,safe,auto_llm_evaluate,0,1.107
SafeRoleCheckedTransfer,safe,slither,0,0.256
SafeRoleCheckedTransfer,safe,gptscan,0,3.314
SafeRoleCheckedTransfer,safe,auto_llm_generate,0,177.442
SafeRoleCheckedTransfer,safe,auto_llm_evaluate,0,1.224
