id,name,type,category,expected
1,UnauthorizedTokenTransfer,vulnerable,basic-missing-sender,detect
2,MissingAllowanceTransferFrom,vulnerable,missing-allowance,detect
3,WrongAllowanceOwner,vulnerable,wrong-allowance-owner,detect
4,OnlyToCheckedTransfer,vulnerable,naming-variant,detect
5,PublicBurnFrom,vulnerable,public-burnfrom,detect
6,UncheckedOperatorTransfer,vulnerable,missing-operator-auth,detect
7,BatchTransferFromMissingAuth,vulnerable,batch-missing-auth,detect
8,ApproveAndCallWrongSpender,vulnerable,wrong-spender,detect
9,InternalMoveExposed,vulnerable,exposed-internal-move,detect
10,RoleBypassTransfer,vulnerable,role-bypass,detect
11,PermitNonceMissingTransfer,vulnerable,permit-nonce-missing,detect
12,DelegatedTransferMissingAuth,vulnerable,delegate-missing-auth,detect
13,VaultWithdrawFromMissingAuth,vulnerable,vault-withdrawfrom,detect
14,NFTTransferFromMissingApproval,vulnerable,nft-missing-approval,detect
15,ERC1155TransferMissingOperator,vulnerable,erc1155-missing-operator,detect
16,SafeTransferFromWithAllowance,safe,correct-allowance,no_detect
17,SafeBurnFromWithAllowance,safe,correct-burn-allowance,no_detect
18,SafeBatchTransferFrom,safe,correct-batch-allowance,no_detect
19,SafeInternalMove,safe,internal-only,no_detect
20,SafeRoleCheckedTransfer,safe,correct-role-and-owner,no_detect
21,OZERC20MissingAllowanceTransferFrom,vulnerable,real_project_cropped,unauthorized_asset_transfer
22,OZERC20WrongAllowanceOwnerRealCrop,vulnerable,real_project_cropped,unauthorized_asset_transfer
23,OZERC20AllowanceNotDecreasedRealCrop,vulnerable,real_project_cropped,unauthorized_asset_transfer
24,OZERC20PublicBurnFromRealCrop,vulnerable,real_project_cropped,unauthorized_asset_transfer
25,OZERC20PermitNoSignatureRealCrop,vulnerable,real_project_cropped,unauthorized_asset_transfer
26,UniswapV2MissingAllowanceTransferFrom,vulnerable,real_project_cropped,unauthorized_asset_transfer
27,UniswapV2WrongAllowanceOwner,vulnerable,real_project_cropped,unauthorized_asset_transfer
28,UniswapV2AllowanceNotDecreased,vulnerable,real_project_cropped,unauthorized_asset_transfer
29,SolmateERC20MissingAllowanceTransferFrom,vulnerable,real_project_cropped,unauthorized_asset_transfer
30,SolmateERC20PublicBurnFrom,vulnerable,real_project_cropped,unauthorized_asset_transfer
31,OZERC721MissingApprovalTransferFrom,vulnerable,real_project_cropped,unauthorized_asset_transfer
32,OZERC721WrongOperatorDirection,vulnerable,real_project_cropped,unauthorized_asset_transfer
33,OZERC721PublicBurnFrom,vulnerable,real_project_cropped,unauthorized_asset_transfer
34,SolmateERC721MissingApprovalTransferFrom,vulnerable,real_project_cropped,unauthorized_asset_transfer
35,SolmateERC721WrongOperatorDirection,vulnerable,real_project_cropped,unauthorized_asset_transfer
36,OZERC1155MissingOperatorSafeTransfer,vulnerable,real_project_cropped,unauthorized_asset_transfer
37,OZERC1155WrongOperatorDirection,vulnerable,real_project_cropped,unauthorized_asset_transfer
38,OZERC1155BatchMissingOperatorRealCrop,vulnerable,real_project_cropped,unauthorized_asset_transfer
39,OZERC4626WithdrawMissingOwnerAuth,vulnerable,real_project_cropped,unauthorized_asset_transfer
40,OZERC4626WithdrawWrongOwnerAuth,vulnerable,real_project_cropped,unauthorized_asset_transfer
41,OZERC4626WithdrawAllowanceNotDecreased,vulnerable,real_project_cropped,unauthorized_asset_transfer
42,AccessControlRoleBypassTransferRealCrop,vulnerable,real_project_cropped,unauthorized_asset_transfer
43,AccessControlWrongRoleTransferRealCrop,vulnerable,real_project_cropped,unauthorized_asset_transfer
44,CompoundStyleTransferFromWrongSpender,vulnerable,real_project_cropped,unauthorized_asset_transfer
45,AaveVaultWithdrawFromMissingAuth,vulnerable,real_project_cropped,unauthorized_asset_transfer
46,OZERC20SafeTransferFromRealCrop,safe,real_project_cropped,authorized_asset_transfer
47,UniswapV2SafeTransferFromRealCrop,safe,real_project_cropped,authorized_asset_transfer
48,SolmateERC20SafeTransferFromRealCrop,safe,real_project_cropped,authorized_asset_transfer
49,OZERC20SafeBurnFromAllowanceRealCrop,safe,real_project_cropped,authorized_asset_transfer
50,OZERC20SafePermitTransferRealCrop,safe,real_project_cropped,authorized_asset_transfer
51,OZERC721SafeTransferFromRealCrop,safe,real_project_cropped,authorized_asset_transfer
52,OZERC721SafeOperatorTransferRealCrop,safe,real_project_cropped,authorized_asset_transfer
53,SolmateERC721SafeTransferRealCrop,safe,real_project_cropped,authorized_asset_transfer
54,OZERC1155SafeTransferRealCrop,safe,real_project_cropped,authorized_asset_transfer
55,OZERC1155SafeBatchTransferRealCrop,safe,real_project_cropped,authorized_asset_transfer
56,OZERC1155SafeOperatorRealCrop,safe,real_project_cropped,authorized_asset_transfer
57,OZERC4626SafeWithdrawFromRealCrop,safe,real_project_cropped,authorized_asset_transfer
58,OZERC4626SafeRedeemFromRealCrop,safe,real_project_cropped,authorized_asset_transfer
59,AccessControlSafeRoleTransferRealCrop,safe,real_project_cropped,authorized_asset_transfer
60,VaultSafeDelegatedWithdrawRealCrop,safe,real_project_cropped,authorized_asset_transfer
