sample,type,status,seconds,detected,output
UnauthorizedTokenTransfer,vulnerable,0,2.020,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/UnauthorizedTokenTransfer.json
MissingAllowanceTransferFrom,vulnerable,0,1.930,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/MissingAllowanceTransferFrom.json
WrongAllowanceOwner,vulnerable,0,1.875,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/WrongAllowanceOwner.json
OnlyToCheckedTransfer,vulnerable,0,1.877,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/OnlyToCheckedTransfer.json
PublicBurnFrom,vulnerable,0,1.858,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/PublicBurnFrom.json
UncheckedOperatorTransfer,vulnerable,0,1.855,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/UncheckedOperatorTransfer.json
BatchTransferFromMissingAuth,vulnerable,0,1.991,0,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/BatchTransferFromMissingAuth.json
ApproveAndCallWrongSpender,vulnerable,0,1.899,0,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/ApproveAndCallWrongSpender.json
InternalMoveExposed,vulnerable,0,1.852,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/InternalMoveExposed.json
RoleBypassTransfer,vulnerable,0,1.857,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/RoleBypassTransfer.json
PermitNonceMissingTransfer,vulnerable,0,1.833,0,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/PermitNonceMissingTransfer.json
DelegatedTransferMissingAuth,vulnerable,0,1.904,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/DelegatedTransferMissingAuth.json
VaultWithdrawFromMissingAuth,vulnerable,0,1.839,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/VaultWithdrawFromMissingAuth.json
NFTTransferFromMissingApproval,vulnerable,0,2.008,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/NFTTransferFromMissingApproval.json
ERC1155TransferMissingOperator,vulnerable,0,1.888,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/ERC1155TransferMissingOperator.json
SafeTransferFromWithAllowance,safe,0,1.780,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/SafeTransferFromWithAllowance.json
SafeBurnFromWithAllowance,safe,0,1.790,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/SafeBurnFromWithAllowance.json
SafeBatchTransferFrom,safe,0,1.853,0,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/SafeBatchTransferFrom.json
SafeInternalMove,safe,0,1.837,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/SafeInternalMove.json
SafeRoleCheckedTransfer,safe,0,1.941,1,/home/tianlang/smart-audit-llm/reports/publish_exp/smartbugs2_semgrep_custom_fixed/SafeRoleCheckedTransfer.json
