sample,type,method,status,seconds,detected
UnauthorizedTokenTransfer,vulnerable,slither,255,0.606,1
UnauthorizedTokenTransfer,vulnerable,smartbugs2_slither,1,3.097,1
UnauthorizedTokenTransfer,vulnerable,gptscan,0,155.779,1
MissingAllowanceTransferFrom,vulnerable,slither,255,0.599,1
MissingAllowanceTransferFrom,vulnerable,smartbugs2_slither,1,2.945,1
MissingAllowanceTransferFrom,vulnerable,gptscan,0,9.152,1
WrongAllowanceOwner,vulnerable,slither,255,0.279,1
WrongAllowanceOwner,vulnerable,smartbugs2_slither,1,1.847,1
WrongAllowanceOwner,vulnerable,gptscan,0,3.254,1
OnlyToCheckedTransfer,vulnerable,slither,255,0.284,1
OnlyToCheckedTransfer,vulnerable,smartbugs2_slither,1,2.091,1
OnlyToCheckedTransfer,vulnerable,gptscan,0,3.224,1
PublicBurnFrom,vulnerable,slither,255,0.254,1
PublicBurnFrom,vulnerable,smartbugs2_slither,1,3.179,1
PublicBurnFrom,vulnerable,gptscan,0,21.561,1
UncheckedOperatorTransfer,vulnerable,slither,255,0.303,1
UncheckedOperatorTransfer,vulnerable,smartbugs2_slither,1,2.070,1
UncheckedOperatorTransfer,vulnerable,gptscan,0,3.009,1
BatchTransferFromMissingAuth,vulnerable,slither,255,0.315,1
BatchTransferFromMissingAuth,vulnerable,smartbugs2_slither,1,3.541,1
BatchTransferFromMissingAuth,vulnerable,gptscan,0,2.944,1
ApproveAndCallWrongSpender,vulnerable,slither,255,0.259,1
ApproveAndCallWrongSpender,vulnerable,smartbugs2_slither,1,2.004,1
ApproveAndCallWrongSpender,vulnerable,gptscan,0,2.634,1
InternalMoveExposed,vulnerable,slither,255,0.278,1
InternalMoveExposed,vulnerable,smartbugs2_slither,1,1.892,1
InternalMoveExposed,vulnerable,gptscan,0,1.271,1
RoleBypassTransfer,vulnerable,slither,255,0.262,1
RoleBypassTransfer,vulnerable,smartbugs2_slither,1,2.280,1
RoleBypassTransfer,vulnerable,gptscan,0,2.965,1
PermitNonceMissingTransfer,vulnerable,slither,255,0.259,1
PermitNonceMissingTransfer,vulnerable,smartbugs2_slither,1,3.398,1
PermitNonceMissingTransfer,vulnerable,gptscan,0,3.112,1
DelegatedTransferMissingAuth,vulnerable,slither,255,0.264,1
DelegatedTransferMissingAuth,vulnerable,smartbugs2_slither,1,2.828,1
DelegatedTransferMissingAuth,vulnerable,gptscan,0,3.113,1
VaultWithdrawFromMissingAuth,vulnerable,slither,255,0.294,1
VaultWithdrawFromMissingAuth,vulnerable,smartbugs2_slither,1,0.545,1
VaultWithdrawFromMissingAuth,vulnerable,gptscan,0,0.911,1
NFTTransferFromMissingApproval,vulnerable,slither,255,0.267,1
NFTTransferFromMissingApproval,vulnerable,smartbugs2_slither,1,2.243,1
NFTTransferFromMissingApproval,vulnerable,gptscan,0,0.775,1
ERC1155TransferMissingOperator,vulnerable,slither,255,0.284,1
ERC1155TransferMissingOperator,vulnerable,smartbugs2_slither,1,3.146,1
ERC1155TransferMissingOperator,vulnerable,gptscan,0,0.856,1
SafeTransferFromWithAllowance,safe,slither,255,0.273,1
SafeTransferFromWithAllowance,safe,smartbugs2_slither,1,2.447,1
SafeTransferFromWithAllowance,safe,gptscan,0,3.146,1
SafeBurnFromWithAllowance,safe,slither,255,0.257,1
SafeBurnFromWithAllowance,safe,smartbugs2_slither,1,2.466,1
SafeBurnFromWithAllowance,safe,gptscan,0,3.507,1
SafeBatchTransferFrom,safe,slither,255,0.298,1
SafeBatchTransferFrom,safe,smartbugs2_slither,1,2.083,1
SafeBatchTransferFrom,safe,gptscan,0,3.137,1
SafeInternalMove,safe,slither,255,0.239,1
SafeInternalMove,safe,smartbugs2_slither,1,2.208,1
SafeInternalMove,safe,gptscan,0,3.034,1
SafeRoleCheckedTransfer,safe,slither,255,0.275,1
SafeRoleCheckedTransfer,safe,smartbugs2_slither,1,2.578,1
SafeRoleCheckedTransfer,safe,gptscan,0,2.977,1
OZERC20MissingAllowanceTransferFrom,vulnerable,slither,255,0.237,1
OZERC20MissingAllowanceTransferFrom,vulnerable,smartbugs2_slither,1,2.252,1
OZERC20MissingAllowanceTransferFrom,vulnerable,gptscan,0,2.829,1
OZERC20WrongAllowanceOwnerRealCrop,vulnerable,slither,255,0.264,1
OZERC20WrongAllowanceOwnerRealCrop,vulnerable,smartbugs2_slither,1,-0.006,1
OZERC20WrongAllowanceOwnerRealCrop,vulnerable,gptscan,0,2.601,1
OZERC20AllowanceNotDecreasedRealCrop,vulnerable,slither,255,0.259,1
OZERC20AllowanceNotDecreasedRealCrop,vulnerable,smartbugs2_slither,1,1.824,1
OZERC20AllowanceNotDecreasedRealCrop,vulnerable,gptscan,0,2.590,1
OZERC20PublicBurnFromRealCrop,vulnerable,slither,255,0.255,1
OZERC20PublicBurnFromRealCrop,vulnerable,smartbugs2_slither,1,3.385,1
OZERC20PublicBurnFromRealCrop,vulnerable,gptscan,0,3.378,1
OZERC20PermitNoSignatureRealCrop,vulnerable,slither,255,0.253,1
OZERC20PermitNoSignatureRealCrop,vulnerable,smartbugs2_slither,1,2.601,1
OZERC20PermitNoSignatureRealCrop,vulnerable,gptscan,0,2.912,1
UniswapV2MissingAllowanceTransferFrom,vulnerable,slither,255,0.254,1
UniswapV2MissingAllowanceTransferFrom,vulnerable,smartbugs2_slither,1,4.447,1
UniswapV2MissingAllowanceTransferFrom,vulnerable,gptscan,0,0.798,1
UniswapV2WrongAllowanceOwner,vulnerable,slither,255,0.293,1
UniswapV2WrongAllowanceOwner,vulnerable,smartbugs2_slither,1,3.003,1
UniswapV2WrongAllowanceOwner,vulnerable,gptscan,0,0.754,1
UniswapV2AllowanceNotDecreased,vulnerable,slither,255,0.265,1
UniswapV2AllowanceNotDecreased,vulnerable,smartbugs2_slither,1,1.096,1
UniswapV2AllowanceNotDecreased,vulnerable,gptscan,0,0.809,1
SolmateERC20MissingAllowanceTransferFrom,vulnerable,slither,255,0.230,1
SolmateERC20MissingAllowanceTransferFrom,vulnerable,smartbugs2_slither,1,2.061,1
SolmateERC20MissingAllowanceTransferFrom,vulnerable,gptscan,0,2.752,1
SolmateERC20PublicBurnFrom,vulnerable,slither,255,0.244,1
SolmateERC20PublicBurnFrom,vulnerable,smartbugs2_slither,1,2.562,1
SolmateERC20PublicBurnFrom,vulnerable,gptscan,0,3.502,1
OZERC721MissingApprovalTransferFrom,vulnerable,slither,255,0.231,1
OZERC721MissingApprovalTransferFrom,vulnerable,smartbugs2_slither,1,2.636,1
OZERC721MissingApprovalTransferFrom,vulnerable,gptscan,0,0.857,1
OZERC721WrongOperatorDirection,vulnerable,slither,255,0.264,1
OZERC721WrongOperatorDirection,vulnerable,smartbugs2_slither,1,3.338,1
OZERC721WrongOperatorDirection,vulnerable,gptscan,0,-1.027,1
OZERC721PublicBurnFrom,vulnerable,slither,255,0.243,1
