sample,type,method,status,seconds,detected,findings
UnauthorizedTokenTransfer,vulnerable,semgrep_custom,0,2.724,1,1
MissingAllowanceTransferFrom,vulnerable,semgrep_custom,0,2.801,1,1
WrongAllowanceOwner,vulnerable,semgrep_custom,0,2.798,1,1
OnlyToCheckedTransfer,vulnerable,semgrep_custom,0,2.675,1,1
PublicBurnFrom,vulnerable,semgrep_custom,0,2.758,1,1
UncheckedOperatorTransfer,vulnerable,semgrep_custom,0,2.578,1,1
BatchTransferFromMissingAuth,vulnerable,semgrep_custom,0,2.812,1,1
ApproveAndCallWrongSpender,vulnerable,semgrep_custom,0,2.735,1,1
InternalMoveExposed,vulnerable,semgrep_custom,0,2.864,1,1
RoleBypassTransfer,vulnerable,semgrep_custom,0,1.230,1,1
PermitNonceMissingTransfer,vulnerable,semgrep_custom,0,2.804,1,1
DelegatedTransferMissingAuth,vulnerable,semgrep_custom,0,2.826,1,1
VaultWithdrawFromMissingAuth,vulnerable,semgrep_custom,0,2.691,1,1
NFTTransferFromMissingApproval,vulnerable,semgrep_custom,0,2.683,1,3
ERC1155TransferMissingOperator,vulnerable,semgrep_custom,0,2.683,1,1
SafeTransferFromWithAllowance,safe,semgrep_custom,0,2.920,1,1
SafeBurnFromWithAllowance,safe,semgrep_custom,0,2.928,1,1
SafeBatchTransferFrom,safe,semgrep_custom,0,2.771,1,1
SafeInternalMove,safe,semgrep_custom,0,2.759,1,1
SafeRoleCheckedTransfer,safe,semgrep_custom,0,2.660,1,1
OZERC20MissingAllowanceTransferFrom,vulnerable,semgrep_custom,0,2.880,1,1
OZERC20WrongAllowanceOwnerRealCrop,vulnerable,semgrep_custom,0,1.328,1,1
OZERC20AllowanceNotDecreasedRealCrop,vulnerable,semgrep_custom,0,2.720,1,1
OZERC20PublicBurnFromRealCrop,vulnerable,semgrep_custom,0,2.766,1,1
OZERC20PermitNoSignatureRealCrop,vulnerable,semgrep_custom,0,2.796,1,1
UniswapV2MissingAllowanceTransferFrom,vulnerable,semgrep_custom,0,2.779,1,1
UniswapV2WrongAllowanceOwner,vulnerable,semgrep_custom,0,2.781,1,1
UniswapV2AllowanceNotDecreased,vulnerable,semgrep_custom,0,2.725,1,1
SolmateERC20MissingAllowanceTransferFrom,vulnerable,semgrep_custom,0,2.865,1,1
SolmateERC20PublicBurnFrom,vulnerable,semgrep_custom,0,2.852,1,1
OZERC721MissingApprovalTransferFrom,vulnerable,semgrep_custom,0,2.776,1,3
OZERC721WrongOperatorDirection,vulnerable,semgrep_custom,0,2.779,1,3
OZERC721PublicBurnFrom,vulnerable,semgrep_custom,0,1.262,1,3
SolmateERC721MissingApprovalTransferFrom,vulnerable,semgrep_custom,0,2.799,1,3
SolmateERC721WrongOperatorDirection,vulnerable,semgrep_custom,0,2.642,1,3
OZERC1155MissingOperatorSafeTransfer,vulnerable,semgrep_custom,0,2.792,1,1
OZERC1155WrongOperatorDirection,vulnerable,semgrep_custom,0,2.708,1,1
OZERC1155BatchMissingOperatorRealCrop,vulnerable,semgrep_custom,0,2.641,1,1
OZERC4626WithdrawMissingOwnerAuth,vulnerable,semgrep_custom,0,2.732,1,1
OZERC4626WithdrawWrongOwnerAuth,vulnerable,semgrep_custom,0,2.363,1,1
OZERC4626WithdrawAllowanceNotDecreased,vulnerable,semgrep_custom,0,2.869,1,1
AccessControlRoleBypassTransferRealCrop,vulnerable,semgrep_custom,0,2.719,1,1
AccessControlWrongRoleTransferRealCrop,vulnerable,semgrep_custom,0,2.682,1,1
CompoundStyleTransferFromWrongSpender,vulnerable,semgrep_custom,0,2.753,1,1
AaveVaultWithdrawFromMissingAuth,vulnerable,semgrep_custom,0,1.206,1,1
OZERC20SafeTransferFromRealCrop,safe,semgrep_custom,0,2.725,1,1
UniswapV2SafeTransferFromRealCrop,safe,semgrep_custom,0,2.758,1,1
SolmateERC20SafeTransferFromRealCrop,safe,semgrep_custom,0,2.716,1,1
OZERC20SafeBurnFromAllowanceRealCrop,safe,semgrep_custom,0,2.720,1,1
OZERC20SafePermitTransferRealCrop,safe,semgrep_custom,0,2.832,1,1
OZERC721SafeTransferFromRealCrop,safe,semgrep_custom,0,2.773,1,2
OZERC721SafeOperatorTransferRealCrop,safe,semgrep_custom,0,2.882,1,2
SolmateERC721SafeTransferRealCrop,safe,semgrep_custom,0,2.830,1,2
OZERC1155SafeTransferRealCrop,safe,semgrep_custom,0,2.840,1,1
OZERC1155SafeBatchTransferRealCrop,safe,semgrep_custom,0,2.911,1,1
OZERC1155SafeOperatorRealCrop,safe,semgrep_custom,0,2.840,1,1
OZERC4626SafeWithdrawFromRealCrop,safe,semgrep_custom,0,1.241,1,1
OZERC4626SafeRedeemFromRealCrop,safe,semgrep_custom,0,2.795,1,1
AccessControlSafeRoleTransferRealCrop,safe,semgrep_custom,0,2.905,1,1
VaultSafeDelegatedWithdrawRealCrop,safe,semgrep_custom,0,2.902,1,1
