round,sample,type,stage,status,seconds,artifact_dir,evaluation_md
1,AaveVaultWithdrawFromMissingAuth,vulnerable,auto_llm_evaluate_v2,0,1.463,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/AaveVaultWithdrawFromMissingAuth_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/AaveVaultWithdrawFromMissingAuth_evaluation.md
1,AaveVaultWithdrawFromMissingAuth,vulnerable,auto_llm_generate_v2,0,226.302,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/AaveVaultWithdrawFromMissingAuth_qwen3_coder_30b,
1,AccessControlRoleBypassTransferRealCrop,vulnerable,auto_llm_evaluate_v2,0,1.540,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/AccessControlRoleBypassTransferRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/AccessControlRoleBypassTransferRealCrop_evaluation.md
1,AccessControlRoleBypassTransferRealCrop,vulnerable,auto_llm_generate_v2,0,253.986,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/AccessControlRoleBypassTransferRealCrop_qwen3_coder_30b,
1,AccessControlSafeRoleTransferRealCrop,safe,auto_llm_evaluate_v2,0,1.536,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/AccessControlSafeRoleTransferRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/AccessControlSafeRoleTransferRealCrop_evaluation.md
1,AccessControlSafeRoleTransferRealCrop,safe,auto_llm_generate_v2,0,224.361,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/AccessControlSafeRoleTransferRealCrop_qwen3_coder_30b,
1,AccessControlWrongRoleTransferRealCrop,vulnerable,auto_llm_evaluate_v2,0,1.530,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/AccessControlWrongRoleTransferRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/AccessControlWrongRoleTransferRealCrop_evaluation.md
1,AccessControlWrongRoleTransferRealCrop,vulnerable,auto_llm_generate_v2,0,266.190,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/AccessControlWrongRoleTransferRealCrop_qwen3_coder_30b,
1,ApproveAndCallWrongSpender,vulnerable,auto_llm_evaluate_v2,0,1.454,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/ApproveAndCallWrongSpender_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/ApproveAndCallWrongSpender_evaluation.md
1,ApproveAndCallWrongSpender,vulnerable,auto_llm_generate_v2,0,174.006,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/ApproveAndCallWrongSpender_qwen3_coder_30b,
1,BatchTransferFromMissingAuth,vulnerable,auto_llm_evaluate_v2,0,1.269,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/BatchTransferFromMissingAuth_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/BatchTransferFromMissingAuth_evaluation.md
